Country;Year;Series;Value
Angola;2017;Population aged 60+ years old (percentage);3.5797
Angola;2017;Population density;23.9166
Angola;2017;Surface area (thousand km2);1246.7000
Angola;2019;Population mid-year estimates (millions);31.8253
Angola;2019;Population mid-year estimates for males (millions);15.7448
Angola;2019;Population mid-year estimates for females (millions);16.0805
Angola;2019;Sex ratio (males per 100 females);97.9121
Angola;2019;Population aged 0 to 14 years old (percentage);46.6220
Angola;2019;Population aged 60+ years old (percentage);3.6243
Angola;2019;Population density;25.5276
Anguilla;2001;Population mid-year estimates (millions);0.0114
Anguilla;2001;Sex ratio (males per 100 females);97.2867
Anguilla;2001;Population aged 0 to 14 years old (percentage);27.6966
Anguilla;2001;Population aged 60+ years old (percentage);10.1548
Anguilla;2001;Population density;126.3556
Anguilla;2005;Population mid-year estimates (millions);0.0126
Anguilla;2005;Population density;140.4222
Anguilla;2010;Population mid-year estimates (millions);0.0138
Anguilla;2010;Population density;152.9889
Anguilla;2011;Population mid-year estimates (millions);0.0140
Anguilla;2011;Sex ratio (males per 100 females);97.5503
Anguilla;2011;Population aged 0 to 14 years old (percentage);23.2950
Anguilla;2011;Population aged 60+ years old (percentage);7.5509
Anguilla;2011;Population density;155.0111
Anguilla;2017;Population mid-year estimates (millions);0.0149
Anguilla;2017;Population density;165.6556
Anguilla;2017;Surface area (thousand km2);0.0910
Anguilla;2019;Population mid-year estimates (millions);0.0149
Anguilla;2019;Population density;165.2111
Antigua and Barbuda;2005;Population mid-year estimates (millions);0.0815
Antigua and Barbuda;2005;Population mid-year estimates for males (millions);0.0386
Antigua and Barbuda;2005;Population mid-year estimates for females (millions);0.0428
Antigua and Barbuda;2005;Sex ratio (males per 100 females);90.1896
Antigua and Barbuda;2005;Population aged 0 to 14 years old (percentage);26.5071
Antigua and Barbuda;2005;Population aged 60+ years old (percentage);9.8165
Antigua and Barbuda;2005;Population density;185.1477
Antigua and Barbuda;2010;Population mid-year estimates (millions);0.0880
Antigua and Barbuda;2010;Population mid-year estimates for males (millions);0.0421
Antigua and Barbuda;2010;Population mid-year estimates for females (millions);0.0459
Antigua and Barbuda;2010;Sex ratio (males per 100 females);91.7364
Antigua and Barbuda;2010;Population aged 0 to 14 years old (percentage);24.3400
Antigua and Barbuda;2010;Population aged 60+ years old (percentage);10.7375
Antigua and Barbuda;2010;Population density;200.0636
Antigua and Barbuda;2017;Population mid-year estimates (millions);0.0954
Antigua and Barbuda;2017;Population mid-year estimates for males (millions);0.0460
Antigua and Barbuda;2017;Population mid-year estimates for females (millions);0.0494
Antigua and Barbuda;2017;Sex ratio (males per 100 females);93.0156
Antigua and Barbuda;2017;Population aged 0 to 14 years old (percentage);22.2319
Antigua and Barbuda;2017;Population aged 60+ years old (percentage);12.7712
Antigua and Barbuda;2017;Population density;216.8773
Antigua and Barbuda;2017;Surface area (thousand km2);0.4420
Antigua and Barbuda;2019;Population mid-year estimates (millions);0.0971
Antigua and Barbuda;2019;Population mid-year estimates for males (millions);0.0469
Antigua and Barbuda;2019;Population mid-year estimates for females (millions);0.0503
Antigua and Barbuda;2019;Sex ratio (males per 100 females);93.2099
Antigua and Barbuda;2019;Population aged 0 to 14 years old (percentage);21.9547
Antigua and Barbuda;2019;Population aged 60+ years old (percentage);13.6164
Antigua and Barbuda;2019;Population density;220.7227
Argentina;2005;Population mid-year estimates (millions);38.8929
Argentina;2005;Population mid-year estimates for males (millions);18.8974
Argentina;2005;Population mid-year estimates for females (millions);19.9956
Argentina;2005;Sex ratio (males per 100 females);94.5078
Argentina;2005;Population aged 0 to 14 years old (percentage);27.2800
Argentina;2005;Population aged 60+ years old (percentage);13.5952
Argentina;2005;Population density;14.2117
Argentina;2010;Population mid-year estimates (millions);40.8958
Argentina;2010;Population mid-year estimates for males (millions);19.8988
Argentina;2010;Population mid-year estimates for females (millions);20.9970
Argentina;2010;Sex ratio (males per 100 females);94.7695
Argentina;2010;Population aged 0 to 14 years old (percentage);26.0360
Argentina;2010;Population aged 60+ years old (percentage);14.2133
Argentina;2010;Population density;14.9435
Argentina;2017;Population mid-year estimates (millions);43.9371
Argentina;2017;Population mid-year estimates for males (millions);21.4198
Argentina;2017;Population mid-year estimates for females (millions);22.5173
Argentina;2017;Sex ratio (males per 100 females);95.1258
Argentina;2017;Population aged 0 to 14 years old (percentage);24.9268
Argentina;2017;Population aged 60+ years old (percentage);15.1301
Argentina;2017;Population density;16.0548
Argentina;2017;Surface area (thousand km2);2780.4000
Argentina;2019;Population mid-year estimates (millions);44.7807
Argentina;2019;Population mid-year estimates for males (millions);21.8414
Argentina;2019;Population mid-year estimates for females (millions);22.9393
